wavelength	counts
247.432	1722.000
248.227	1704.000
249.023	1706.000
249.818	1703.000
250.613	1714.000
251.408	1709.000
252.203	1719.000
252.999	1716.000
253.794	1714.000
254.588	1712.000
255.383	1714.000
256.178	1715.000
256.973	1710.000
257.768	1711.000
258.562	1715.000
259.357	1717.000
260.151	1712.000
260.946	1714.000
261.740	1720.000
262.534	1714.000
263.328	1710.000
264.123	1719.000
264.917	1713.000
265.711	1716.000
266.505	1714.000
267.299	1715.000
268.093	1714.000
268.886	1717.000
269.680	1714.000
270.474	1721.000
271.267	1720.000
272.061	1719.000
272.854	1721.000
273.648	1716.000
274.441	1719.000
275.234	1717.000
276.028	1717.000
276.821	1717.000
277.614	1716.000
278.407	1710.000
279.200	1711.000
279.993	1709.000
280.786	1718.000
281.578	1719.000
282.371	1717.000
283.164	1714.000
283.956	1715.000
284.749	1714.000
285.541	1717.000
286.334	1717.000
287.126	1711.000
287.918	1718.000
288.710	1716.000
289.503	1720.000
290.295	1714.000
291.087	1718.000
291.879	1717.000
292.670	1713.000
293.462	1716.000
294.254	1716.000
295.046	1717.000
295.837	1714.000
296.629	1719.000
297.420	1720.000
298.212	1717.000
299.003	1715.000
299.794	1712.000
300.586	1721.000
301.377	1718.000
302.168	1714.000
302.959	1720.000
303.750	1712.000
304.541	1721.000
305.332	1716.000
306.123	1720.000
306.913	1715.000
307.704	1720.000
308.494	1714.000
309.285	1716.000
310.075	1714.000
310.866	1723.000
311.656	1719.000
312.446	1719.000
313.237	1719.000
314.027	1715.000
314.817	1720.000
315.607	1716.000
316.397	1724.000
317.187	1715.000
317.976	1723.000
318.766	1716.000
319.556	1713.000
320.345	1716.000
321.135	1716.000
321.924	1717.000
322.714	1721.000
323.503	1716.000
324.293	1712.000
325.082	1721.000
325.871	1718.000
326.660	1722.000
327.449	1718.000
328.238	1720.000
329.027	1724.000
329.816	1718.000
330.604	1717.000
331.393	1719.000
332.182	1721.000
332.970	1724.000
333.759	1709.000
334.547	1719.000
335.336	1721.000
336.124	1714.000
336.912	1714.000
337.700	1720.000
338.488	1714.000
339.276	1715.000
340.064	1719.000
340.852	1715.000
341.640	1721.000
342.428	1717.000
343.216	1719.000
344.003	1720.000
344.791	1722.000
345.578	1718.000
346.366	1716.000
347.153	1717.000
347.940	1717.000
348.728	1717.000
349.515	1715.000
350.302	1722.000
351.089	1720.000
351.876	1718.000
352.663	1719.000
353.450	1714.000
354.236	1717.000
355.023	1715.000
355.810	1717.000
356.596	1713.000
357.383	1718.000
358.169	1715.000
358.956	1723.000
359.742	1716.000
360.528	1722.000
361.314	1719.000
362.100	1720.000
362.886	1714.000
363.672	1719.000
364.458	1710.000
365.244	1716.000
366.030	1714.000
366.816	1718.000
367.601	1714.000
368.387	1718.000
369.172	1713.000
369.958	1718.000
370.743	1719.000
371.528	1714.000
372.314	1712.000
373.099	1717.000
373.884	1716.000
374.669	1714.000
375.454	1717.000
376.239	1717.000
377.024	1719.000
377.808	1717.000
378.593	1718.000
379.378	1714.000
380.162	1717.000
380.947	1710.000
381.731	1718.000
382.515	1719.000
